seat_id,x,y,z
right_seats.182,19.9177,79.0513,13.477
left_seats.183,19.9177,-4.1348,13.8873
right_seats.183,19.9177,79.8362,13.8873
left_seats.184,19.9177,-4.9197,14.2977
right_seats.184,19.9177,80.6211,14.2977
left_seats.185,19.9177,-5.7046,14.708
right_seats.185,19.9177,81.4061,14.708
left_seats.186,19.9177,-6.4896,15.1184
right_seats.186,19.9177,82.191,15.1184
left_seats.187,19.9177,-7.2745,15.5287
right_seats.187,19.9177,82.9759,15.5287
left_seats.188,19.9177,-8.0594,15.9391
right_seats.188,19.9177,83.7609,15.9391
left_seats.189,19.9177,-8.8444,16.3494
right_seats.189,19.9177,84.5458,16.3494
left_seats.190,19.9177,-9.6293,16.7598
right_seats.190,19.9177,85.3307,16.7598
left_seats.191,20.3898,-2.5649,13.0666
right_seats.191,20.3898,78.2663,13.0666
left_seats.192,20.3898,-3.3498,13.477
right_seats.192,20.3898,79.0513,13.477
left_seats.193,20.3898,-4.1348,13.8873
right_seats.193,20.3898,79.8362,13.8873
left_seats.194,20.3898,-4.9197,14.2977
right_seats.194,20.3898,80.6211,14.2977
left_seats.195,20.3898,-5.7046,14.708
right_seats.195,20.3898,81.4061,14.708
left_seats.196,20.3898,-6.4896,15.1184
right_seats.196,20.3898,82.191,15.1184
left_seats.197,20.3898,-7.2745,15.5287
right_seats.197,20.3898,82.9759,15.5287
left_seats.198,20.3898,-8.0594,15.9391
right_seats.198,20.3898,83.7609,15.9391
left_seats.199,20.3898,-8.8444,16.3494
right_seats.199,20.3898,84.5458,16.3494
left_seats.200,20.3898,-9.6293,16.7598
right_seats.200,20.3898,85.3307,16.7598
left_seats.201,20.8619,-2.5649,13.0666
right_seats.201,20.8619,78.2663,13.0666
left_seats.202,20.8619,-3.3498,13.477
right_seats.202,20.8619,79.0513,13.477
left_seats.203,20.8619,-4.1348,13.8873
right_seats.203,20.8619,79.8362,13.8873
left_seats.204,20.8619,-4.9197,14.2977
right_seats.204,20.8619,80.6211,14.2977
